f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.4952;0.3;work_at_weekend;1;0.7;[]
0.5188;0.3;neighborhood_variability_sender;1;0.7;[]
0.4949;0.3;neighborhood_variability_recipient;1;0.7;[]
0.5188;0.3;neighborhood_variability_all;1;0.7;[]
0.4490;0.3;in_degree;1;0.8;[]
0.3636;0.3;out_degree;1;0.8;[]
0.5188;0.3;betweenness;1;0.8;[]
0.4457;0.3;closeness;1;0.8;[]
0.4031;0.3;eigenvector;1;0.8;[]
0.3762;0.3;clustering_coeff;1;0.8;[]
0.5935;0.3;pagerank;1;0.8;[]
0.4490;0.3;hubs;1;0.8;[]
0.4108;0.3;authorities;1;0.8;[]
0.4185;0.3;max_clique;1;0.8;[]
0.4490;0.3;cliques_count;1;0.8;[]
0.4952;0.3;work_at_weekend;1;0.8;[]
0.5188;0.3;neighborhood_variability_sender;1;0.8;[]
0.4949;0.3;neighborhood_variability_recipient;1;0.8;[]
0.5188;0.3;neighborhood_variability_all;1;0.8;[]
0.4108;0.3;in_degree;1;0.9;[]
0.3636;0.3;out_degree;1;0.9;[]
0.5188;0.3;betweenness;1;0.9;[]
0.4555;0.3;closeness;1;0.9;[]
0.4031;0.3;eigenvector;1;0.9;[]
0.3762;0.3;clustering_coeff;1;0.9;[]
0.5935;0.3;pagerank;1;0.9;[]
0.4490;0.3;hubs;1;0.9;[]
0.4108;0.3;authorities;1;0.9;[]
0.4185;0.3;max_clique;1;0.9;[]
0.4490;0.3;cliques_count;1;0.9;[]
0.4952;0.3;work_at_weekend;1;0.9;[]
0.5188;0.3;neighborhood_variability_sender;1;0.9;[]
0.4949;0.3;neighborhood_variability_recipient;1;0.9;[]
0.5188;0.3;neighborhood_variability_all;1;0.9;[]
0.4185;0.3;in_degree;1;0.99;[]
0.3762;0.3;out_degree;1;0.99;[]
0.4849;0.3;betweenness;1;0.99;[]
0.4185;0.3;closeness;1;0.99;[]
0.3762;0.3;eigenvector;1;0.99;[]
0.3762;0.3;clustering_coeff;1;0.99;[]
0.5625;0.3;pagerank;1;0.99;[]
0.4108;0.3;hubs;1;0.99;[]
0.4108;0.3;authorities;1;0.99;[]
0.4185;0.3;max_clique;1;0.99;[]
0.4490;0.3;cliques_count;1;0.99;[]
0.4952;0.3;work_at_weekend;1;0.99;[]
0.3762;0.3;neighborhood_variability_sender;1;0.99;[]
0.4949;0.3;neighborhood_variability_recipient;1;0.99;[]
0.5188;0.3;neighborhood_variability_all;1;0.99;[]
0.4150;0.2;in_degree;1;0.7;[]
0.3772;0.2;out_degree;1;0.7;[]
0.4150;0.2;betweenness;1;0.7;[]
0.4123;0.2;closeness;1;0.7;[]
0.4150;0.2;eigenvector;1;0.7;[]
0.3772;0.2;clustering_coeff;1;0.7;[]
0.3772;0.2;pagerank;1;0.7;[]
0.4083;0.2;hubs;1;0.7;[]
0.4506;0.2;authorities;1;0.7;[]
0.3772;0.2;max_clique;1;0.7;[]
0.4083;0.2;cliques_count;1;0.7;[]
0.5359;0.2;work_at_weekend;1;0.7;[]
0.3772;0.2;neighborhood_variability_sender;1;0.7;[]
0.5159;0.2;neighborhood_variability_recipient;1;0.7;[]
0.5359;0.2;neighborhood_variability_all;1;0.7;[]
0.4150;0.2;in_degree;1;0.8;[]
0.3772;0.2;out_degree;1;0.8;[]
0.4150;0.2;betweenness;1;0.8;[]
0.4123;0.2;closeness;1;0.8;[]
0.4150;0.2;eigenvector;1;0.8;[]
0.3772;0.2;clustering_coeff;1;0.8;[]
0.3772;0.2;pagerank;1;0.8;[]
0.4083;0.2;hubs;1;0.8;[]
0.3772;0.2;authorities;1;0.8;[]
0.3772;0.2;max_clique;1;0.8;[]
0.4150;0.2;cliques_count;1;0.8;[]
0.5359;0.2;work_at_weekend;1;0.8;[]
0.3772;0.2;neighborhood_variability_sender;1;0.8;[]
0.5159;0.2;neighborhood_variability_recipient;1;0.8;[]
0.5359;0.2;neighborhood_variability_all;1;0.8;[]
0.4150;0.2;in_degree;1;0.9;[]
0.3772;0.2;out_degree;1;0.9;[]
0.4150;0.2;betweenness;1;0.9;[]
0.4123;0.2;closeness;1;0.9;[]
0.3772;0.2;eigenvector;1;0.9;[]
0.3772;0.2;clustering_coeff;1;0.9;[]
0.3772;0.2;pagerank;1;0.9;[]
0.3717;0.2;hubs;1;0.9;[]
0.3772;0.2;authorities;1;0.9;[]
0.3772;0.2;max_clique;1;0.9;[]
0.4150;0.2;cliques_count;1;0.9;[]
0.5359;0.2;work_at_weekend;1;0.9;[]
0.3772;0.2;neighborhood_variability_sender;1;0.9;[]
0.5159;0.2;neighborhood_variability_recipient;1;0.9;[]
0.5359;0.2;neighborhood_variability_all;1;0.9;[]
0.4150;0.2;in_degree;1;0.99;[]
0.3772;0.2;out_degree;1;0.99;[]
0.4150;0.2;betweenness;1;0.99;[]
0.3772;0.2;closeness;1;0.99;[]
0.3772;0.2;eigenvector;1;0.99;[]
0.3772;0.2;clustering_coeff;1;0.99;[]
0.3772;0.2;pagerank;1;0.99;[]
0.3772;0.2;hubs;1;0.99;[]
0.3772;0.2;authorities;1;0.99;[]
0.3772;0.2;max_clique;1;0.99;[]
0.4150;0.2;cliques_count;1;0.99;[]
0.5359;0.2;work_at_weekend;1;0.99;[]
0.3772;0.2;neighborhood_variability_sender;1;0.99;[]
0.5159;0.2;neighborhood_variability_recipient;1;0.99;[]
0.5460;0.2;neighborhood_variability_all;1;0.99;[]
0.4141;0.1;in_degree;1;0.7;[]
0.3798;0.1;out_degree;1;0.7;[]
0.4982;0.1;betweenness;1;0.7;[]
0.5063;0.1;closeness;1;0.7;[]
0.5605;0.1;eigenvector;1;0.7;[]
0.4464;0.1;clustering_coeff;1;0.7;[]
0.3798;0.1;pagerank;1;0.7;[]
0.4624;0.1;hubs;1;0.7;[]
0.3798;0.1;authorities;1;0.7;[]
0.3798;0.1;max_clique;1;0.7;[]
0.4771;0.1;cliques_count;1;0.7;[]
0.3798;0.1;work_at_weekend;1;0.7;[]
0.3798;0.1;neighborhood_variability_sender;1;0.7;[]
