f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.5500;0.9;cliques_count;8;0.99;[]
0.3250;0.9;overtime;8;0.99;[]
0.5500;0.9;work_at_weekend;8;0.99;[]
0.4000;0.9;neighborhood_variability_sender;8;0.99;[]
0.4000;0.9;neighborhood_variability_recipient;8;0.99;[]
0.4000;0.9;neighborhood_variability_all;8;0.99;[]
0.6667;0.9;in_degree;9;0.7;[]
0.6494;0.9;out_degree;9;0.7;[]
0.4000;0.9;betweenness;9;0.7;[]
0.6786;0.9;closeness;9;0.7;[]
0.7750;0.9;eigenvector;9;0.7;[]
0.4000;0.9;clustering_coeff;9;0.7;[]
0.4156;0.9;pagerank;9;0.7;[]
0.6786;0.9;hubs;9;0.7;[]
0.6494;0.9;authorities;9;0.7;[]
0.3250;0.9;max_clique;9;0.7;[]
0.6494;0.9;cliques_count;9;0.7;[]
0.3250;0.9;overtime;9;0.7;[]
0.5500;0.9;work_at_weekend;9;0.7;[]
0.4000;0.9;neighborhood_variability_sender;9;0.7;[]
0.4000;0.9;neighborhood_variability_recipient;9;0.7;[]
0.4000;0.9;neighborhood_variability_all;9;0.7;[]
0.6667;0.9;in_degree;9;0.8;[]
0.6494;0.9;out_degree;9;0.8;[]
0.4000;0.9;betweenness;9;0.8;[]
0.6786;0.9;closeness;9;0.8;[]
0.7750;0.9;eigenvector;9;0.8;[]
0.4000;0.9;clustering_coeff;9;0.8;[]
0.4156;0.9;pagerank;9;0.8;[]
0.6786;0.9;hubs;9;0.8;[]
0.6494;0.9;authorities;9;0.8;[]
0.3250;0.9;max_clique;9;0.8;[]
0.6494;0.9;cliques_count;9;0.8;[]
0.3250;0.9;overtime;9;0.8;[]
0.5500;0.9;work_at_weekend;9;0.8;[]
0.4000;0.9;neighborhood_variability_sender;9;0.8;[]
0.4000;0.9;neighborhood_variability_recipient;9;0.8;[]
0.4000;0.9;neighborhood_variability_all;9;0.8;[]
0.6667;0.9;in_degree;9;0.9;[]
0.6494;0.9;out_degree;9;0.9;[]
0.4000;0.9;betweenness;9;0.9;[]
0.4000;0.9;closeness;9;0.9;[]
0.7750;0.9;eigenvector;9;0.9;[]
0.4000;0.9;clustering_coeff;9;0.9;[]
0.4156;0.9;pagerank;9;0.9;[]
0.6786;0.9;hubs;9;0.9;[]
0.6494;0.9;authorities;9;0.9;[]
0.3250;0.9;max_clique;9;0.9;[]
0.5500;0.9;cliques_count;9;0.9;[]
0.3250;0.9;overtime;9;0.9;[]
0.5500;0.9;work_at_weekend;9;0.9;[]
0.4000;0.9;neighborhood_variability_sender;9;0.9;[]
0.4000;0.9;neighborhood_variability_recipient;9;0.9;[]
0.4000;0.9;neighborhood_variability_all;9;0.9;[]
0.6667;0.9;in_degree;9;0.99;[]
0.6494;0.9;out_degree;9;0.99;[]
0.4000;0.9;betweenness;9;0.99;[]
0.4000;0.9;closeness;9;0.99;[]
0.7750;0.9;eigenvector;9;0.99;[]
0.4000;0.9;clustering_coeff;9;0.99;[]
0.4156;0.9;pagerank;9;0.99;[]
0.6786;0.9;hubs;9;0.99;[]
0.6494;0.9;authorities;9;0.99;[]
0.3250;0.9;max_clique;9;0.99;[]
0.5500;0.9;cliques_count;9;0.99;[]
0.3250;0.9;overtime;9;0.99;[]
0.5500;0.9;work_at_weekend;9;0.99;[]
0.4000;0.9;neighborhood_variability_sender;9;0.99;[]
0.4000;0.9;neighborhood_variability_recipient;9;0.99;[]
0.4000;0.9;neighborhood_variability_all;9;0.99;[]
0.6494;0.9;in_degree;10;0.7;[]
0.5500;0.9;out_degree;10;0.7;[]
0.4000;0.9;betweenness;10;0.7;[]
0.6786;0.9;closeness;10;0.7;[]
0.6494;0.9;eigenvector;10;0.7;[]
0.4000;0.9;clustering_coeff;10;0.7;[]
0.4156;0.9;pagerank;10;0.7;[]
0.5846;0.9;hubs;10;0.7;[]
0.7500;0.9;authorities;10;0.7;[]
0.4444;0.9;max_clique;10;0.7;[]
0.5500;0.9;cliques_count;10;0.7;[]
0.3250;0.9;overtime;10;0.7;[]
0.3250;0.9;work_at_weekend;10;0.7;[]
0.4000;0.9;neighborhood_variability_sender;10;0.7;[]
0.3077;0.9;neighborhood_variability_recipient;10;0.7;[]
0.4000;0.9;neighborhood_variability_all;10;0.7;[]
0.6494;0.9;in_degree;10;0.8;[]
0.5500;0.9;out_degree;10;0.8;[]
0.4000;0.9;betweenness;10;0.8;[]
0.6786;0.9;closeness;10;0.8;[]
0.6494;0.9;eigenvector;10;0.8;[]
0.4000;0.9;clustering_coeff;10;0.8;[]
0.4156;0.9;pagerank;10;0.8;[]
0.5846;0.9;hubs;10;0.8;[]
0.7500;0.9;authorities;10;0.8;[]
0.4444;0.9;max_clique;10;0.8;[]
0.5500;0.9;cliques_count;10;0.8;[]
0.3250;0.9;overtime;10;0.8;[]
0.3250;0.9;work_at_weekend;10;0.8;[]
0.4000;0.9;neighborhood_variability_sender;10;0.8;[]
0.3077;0.9;neighborhood_variability_recipient;10;0.8;[]
0.4000;0.9;neighborhood_variability_all;10;0.8;[]
0.6494;0.9;in_degree;10;0.9;[]
0.5500;0.9;out_degree;10;0.9;[]
0.4000;0.9;betweenness;10;0.9;[]
0.4000;0.9;closeness;10;0.9;[]
0.6494;0.9;eigenvector;10;0.9;[]
0.4000;0.9;clustering_coeff;10;0.9;[]
0.4156;0.9;pagerank;10;0.9;[]
0.5846;0.9;hubs;10;0.9;[]
0.7500;0.9;authorities;10;0.9;[]
0.4444;0.9;max_clique;10;0.9;[]
0.5500;0.9;cliques_count;10;0.9;[]
0.3250;0.9;overtime;10;0.9;[]
0.3250;0.9;work_at_weekend;10;0.9;[]
0.4000;0.9;neighborhood_variability_sender;10;0.9;[]
0.3077;0.9;neighborhood_variability_recipient;10;0.9;[]
0.4000;0.9;neighborhood_variability_all;10;0.9;[]
0.6494;0.9;in_degree;10;0.99;[]
0.5500;0.9;out_degree;10;0.99;[]
0.4000;0.9;betweenness;10;0.99;[]
0.4000;0.9;closeness;10;0.99;[]
